"dia";"total_cargas";"cargas_concluidas"
2020-09-03 00:00:00;90;77
2020-09-04 00:00:00;89;87
2020-09-05 00:00:00;89;85
2020-09-06 00:00:00;89;78
2020-09-07 00:00:00;89;69
2020-09-08 00:00:00;89;86
2020-09-09 00:00:00;89;88
2020-09-10 00:00:00;89;88
2020-09-11 00:00:00;90;89
2020-09-12 00:00:00;90;86
2020-09-13 00:00:00;90;68
2020-09-14 00:00:00;90;88
2020-09-15 00:00:00;90;88
2020-09-16 00:00:00;90;90
2020-09-17 00:00:00;90;89
2020-09-18 00:00:00;90;90
2020-09-19 00:00:00;90;88
2020-09-20 00:00:00;90;77
2020-09-21 00:00:00;90;88
2020-09-22 00:00:00;90;88
2020-09-23 00:00:00;90;87
2020-09-24 00:00:00;90;88
2020-09-25 00:00:00;90;85
2020-09-26 00:00:00;90;86
2020-09-27 00:00:00;90;70
2020-09-28 00:00:00;90;88
2020-09-29 00:00:00;90;86
2020-09-30 00:00:00;90;89
2020-10-01 00:00:00;94;90
2020-10-02 00:00:00;91;89
2020-10-03 00:00:00;91;87
2020-10-04 00:00:00;90;67
2020-10-05 00:00:00;90;85
2020-10-06 00:00:00;91;84
2020-10-07 00:00:00;91;91
2020-10-08 00:00:00;91;91
2020-10-09 00:00:00;91;89
2020-10-10 00:00:00;91;90
2020-10-11 00:00:00;91;77
2020-10-12 00:00:00;91;86
2020-10-13 00:00:00;91;90
2020-10-14 00:00:00;91;90
2020-10-15 00:00:00;91;90
2020-10-16 00:00:00;91;91
2020-10-17 00:00:00;91;87
2020-10-18 00:00:00;91;67
2020-10-19 00:00:00;91;88
2020-10-20 00:00:00;92;90
2020-10-21 00:00:00;92;92
2020-10-22 00:00:00;92;92
2020-10-23 00:00:00;92;90
2020-10-24 00:00:00;92;86
2020-10-25 00:00:00;92;61
2020-10-26 00:00:00;92;88
2020-10-27 00:00:00;92;90
2020-10-28 00:00:00;92;91
2020-10-29 00:00:00;92;91
2020-10-30 00:00:00;92;90
2020-10-31 00:00:00;92;89
2020-11-01 00:00:00;96;66
2020-11-02 00:00:00;96;79
2020-11-03 00:00:00;96;85
2020-11-04 00:00:00;93;89
2020-11-05 00:00:00;93;90
2020-11-06 00:00:00;92;88
2020-11-07 00:00:00;92;87
2020-11-08 00:00:00;92;75
2020-11-09 00:00:00;92;89
2020-11-10 00:00:00;92;90
2020-11-11 00:00:00;92;90
2020-11-12 00:00:00;92;91
2020-11-13 00:00:00;93;91
2020-11-14 00:00:00;93;89
2020-11-15 00:00:00;93;68
2020-11-16 00:00:00;93;92
2020-11-17 00:00:00;92;90
2020-11-18 00:00:00;92;91
2020-11-19 00:00:00;92;92
2020-11-20 00:00:00;92;90
2020-11-21 00:00:00;92;86
2020-11-22 00:00:00;92;70
2020-11-23 00:00:00;92;88
2020-11-24 00:00:00;92;90
2020-11-25 00:00:00;92;91
2020-11-26 00:00:00;92;92
2020-11-27 00:00:00;92;90
2020-11-28 00:00:00;92;87
2020-11-29 00:00:00;92;65
2020-11-30 00:00:00;92;88
2020-12-01 00:00:00;96;91
2020-12-02 00:00:00;93;91
2020-12-03 00:00:00;93;91
2020-12-04 00:00:00;92;91
2020-12-05 00:00:00;92;73
2020-12-06 00:00:00;92;79
2020-12-07 00:00:00;92;88
2020-12-08 00:00:00;92;89
2020-12-09 00:00:00;92;91
2020-12-10 00:00:00;91;89
2020-12-11 00:00:00;91;89
2020-12-12 00:00:00;91;86
2020-12-13 00:00:00;91;75
