CAMINHO;MACRO;ROBO;HORA
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\M_EXPANSAO_LOJAS\BASE_EXPANSAO_LOJAS.xlsb;!ATUALIZAR_TUDO;JARVIS;00:09:30
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\M_INDICADOR_COMITE\M_PRODUTIVIDADE_ATENDIMENTO.xlsb;!ATUALIZAR_TUDO;GARVIS;18:26:15
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\M_INFO_PLUVIOMETRICAS\INFO_PLUVIOMETRICAS.xlsb;!ATUALIZAR_TUDO;CARGAS;00:05:45
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\M_LUCRO_VENDEDOR\M_LUCRO_VENDEDOR.xlsb;!ATUALIZAR_TUDO;CARGAS;07:48:22
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\M_MONITORAMENTO_FAT_AUDIT\MONITORAMENTO_FAT_AUDIT.xlsm;!ATUALIZAR_TUDO;GARVIS;08:02:19
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\M_VENDAS_COMITE\MAILING_AVULSO.xlsb;!ATUALIZAR_TUDO;JARVIS;17:54:14
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\S_ACOMPANHAMENTO_FASE_2\ACOMPANHAMENTO_FASE_2.xlsm;!ATUALIZAR_TUDO;GARVIS;05:55:17
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\S_DOSSIE_ALTERACAO_LIMITE\DOSSIE_ALTERACAO_LIMITE.xlsm;!ATUALIZAR_TUDO;GARVIS;08:49:18
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\S_FIDELIDADE_CONSTRUCAO\FIDELIDADE_CONSTRUCAO.xlsb;!ATUALIZAR_TUDO;JARVIS;07:36:05
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\S_PAGAMENTOS_FRAUDE\PAGAMENTOS_FRAUDE.xlsm;!ATUALIZAR_TUDO;CARGAS;02:21:48
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\S_PRODUCAO_ACUM_FORNECEDORES\BASE_PROD_ACUM_FORNECEDORES.xlsm;!ATUALIZAR_TUDO;GARVIS;15:39:20
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\S_PROJETO_MOVEIS_PLANEJADOS\PROJETO_MOVEIS_PLANEJADOS.xlsm;!ATUALIZAR_TUDO;GARVIS;01:23:24
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\S_TRADE_LOGISTICA\TRADE_LOGISTICA.xlsm;!ATUALIZAR_TUDO;GARVIS;04:22:47
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\S_TRADE_PLANEJAMENTO\TRADE_PLANEJAMNTO.xlsm;!ATUALIZAR_TUDO;GARVIS;04:37:36
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\S_TRADE_SERVICOS\TRADE_SERVIÇOS.xlsm;!ATUALIZAR_TUDO;GARVIS;08:02:34
U:\Verdecard\MIS\ANTECIPACAO\ACOMPANHAMENTO_AR\AR_AUTOMATICO.xlsb;!ATUALIZAR_TUDO;CARGAS;00:00:43
